Category,Asian,Black,Other,White
Alcohol,13,205,3,253
Business offenses,32,73,12,316
Disorderly Conduct,3,90,0,332
Controlled Dangerous Substances,1,137,0,108
Failure to appear,0,1,0,0
Failure to obey law enforcement,0,44,1,33
Firearm,0,0,0,1
Fraud,0,5,0,6
Harm to a child/minor,4,72,2,26
Malicious destruction of property,0,21,0,20
Other criminal,2,332,0,60
Other quality of life offenses,0,10,0,36
Theft,21,1075,12,938
Trespassing,12,156,4,235
